trade_date,ok,mode,from_cache,completeness,elapsed_ms,api_call_count,wall_seconds,error
20260410,1,hybrid,0,0.9545,28235,20,28.24,
20260413,1,hybrid,0,0.9545,24726,20,24.73,
20260414,1,hybrid,0,0.9545,23203,20,23.20,
20260415,1,hybrid,0,0.9545,24851,20,24.85,
20260416,1,hybrid,0,0.9545,23890,20,23.89,
20260417,1,hybrid,0,0.9545,26813,20,26.81,
20260420,1,hybrid,0,0.9545,17263,20,17.26,
20260421,1,hybrid,0,0.9545,26914,20,26.92,
20260422,1,hybrid,0,0.9545,26158,20,26.16,
20260423,1,hybrid,0,0.9545,11663,20,11.66,
20260424,1,hybrid,0,0.9545,25986,20,25.99,
20260427,1,hybrid,0,0.9545,24726,20,24.73,
20260428,1,hybrid,0,0.9500,24694,20,24.69,
20260429,1,hybrid,0,0.9545,21890,20,21.89,
20260430,1,hybrid,0,0.9545,25554,20,25.55,
20260506,1,hybrid,0,0.9500,146734,20,146.73,
20260507,1,hybrid,0,0.9545,25328,20,25.33,
20260508,1,hybrid,0,0.9545,24292,20,24.29,
20260511,1,hybrid,0,0.9545,25345,20,25.35,
20260512,1,hybrid,0,0.9545,26081,20,26.08,
20260513,1,hybrid,0,0.9500,26124,20,26.12,
20260514,1,hybrid,0,0.9545,24125,20,24.13,
20260515,1,hybrid,0,0.9545,20474,20,20.48,
20260518,1,hybrid,0,0.9500,25631,20,25.63,
20260519,1,hybrid,0,0.9545,22456,20,22.46,
20260520,1,hybrid,0,0.9545,25995,20,26.00,
20260521,1,hybrid,0,0.9545,25905,20,25.91,
20260522,1,hybrid,1,0.9545,21,20,0.02,
20260525,1,hybrid,1,0.9545,23,21,0.02,
20260526,1,hybrid,1,0.9091,20,20,0.02,
