ts_code,name,trade_date,close,pct_change,category,turnover_rate,amount
BK0890.DC,MLCC,20260522,4913.81,11.22,概念板块,8.45,48406935009.0
BK1462.DC,玻纤制造,20260522,16390.66,8.41,行业板块,7.0,20845460102.0
BK1340.DC,印制电路板,20260522,12112.47,8.21,行业板块,7.06,135587633631.0
BK0459.DC,元件,20260522,57949.18,8.04,行业板块,6.96,164164607066.0
BK0976.DC,被动元件概念,20260522,2587.16,7.94,概念板块,7.45,62265624350.0
BK1339.DC,被动元件,20260522,13317.58,7.64,行业板块,6.67,28576973434.0
BK0816.DC,昨日连板,20260522,11473.02,7.24,概念板块,11.97,3802301568.0
BK1023.DC,培育钻石,20260522,2747.23,7.15,概念板块,3.29,13887610772.0
BK1397.DC,磨具磨料,20260522,8923.19,7.12,行业板块,6.85,9424735810.0
BK0877.DC,PCB,20260522,4412.9,7.01,概念板块,5.93,261461503366.0
BK1051.DC,昨日连板_含一字,20260522,13461.92,6.49,概念板块,12.92,5170006161.0
BK1113.DC,复合集流体,20260522,2084.19,5.93,概念板块,5.15,31191892818.0
BK1439.DC,膜材料,20260522,4267.12,5.81,行业板块,6.75,14327004585.0
BK1615.DC,铜,20260522,3953.93,5.66,行业板块,2.28,28133431040.0
BK1618.DC,磁性材料,20260522,6231.31,5.61,行业板块,2.81,7972385514.0
BK1625.DC,钨,20260522,8489.62,5.58,行业板块,5.11,10824830248.0
BK1675.DC,历史新高,20260522,1352.14,5.54,概念板块,2.61,53370699077.0
BK0546.DC,玻璃玻纤,20260522,70710.84,5.47,行业板块,5.74,23383976340.0
BK0855.DC,纳米银,20260522,4391.34,5.36,概念板块,8.34,14166480799.0
BK1424.DC,氟化工,20260522,14675.77,5.34,行业板块,6.37,19812967837.0
BK0901.DC,3D摄像头,20260522,2040.47,5.28,概念板块,5.63,34712147077.0
BK1288.DC,金属新材料,20260522,6757.71,5.15,行业板块,3.27,16641806312.0
BK1334.DC,光学元件,20260522,18804.45,5.14,行业板块,7.67,32402290187.0
BK1168.DC,铜缆高速连接,20260522,3067.11,5.08,概念板块,4.63,58662932140.0
BK1409.DC,激光设备,20260522,21497.07,4.85,行业板块,6.8,29910771366.0
BK1128.DC,CPO概念,20260522,9664.25,4.84,概念板块,4.84,277821641423.0
BK1136.DC,光通信模块,20260522,4266.9,4.82,概念板块,5.83,285261775362.0
BK1619.DC,其他金属新材料,20260522,4457.01,4.82,行业板块,3.66,8669420797.0
BK1039.DC,电子化学品Ⅱ,20260522,3590.35,4.75,行业板块,8.92,50612374403.0
BK1332.DC,电子化学品Ⅲ,20260522,3590.35,4.75,行业板块,8.92,50612374403.0
BK0703.DC,超级电容,20260522,6010.25,4.72,概念板块,3.63,42192791699.0
BK0674.DC,蓝宝石,20260522,4826.6,4.71,概念板块,6.38,57835817155.0
BK1161.DC,英伟达概念,20260522,2468.94,4.68,概念板块,3.94,133457197456.0
BK0666.DC,苹果概念,20260522,6208.63,4.51,概念板块,6.83,243245263628.0
BK1141.DC,混合现实,20260522,2189.29,4.46,概念板块,11.19,93114041840.0
BK1175.DC,玻璃基板,20260522,2928.46,4.46,概念板块,13.28,121046942324.0
BK1415.DC,其他化学纤维,20260522,3890.68,4.4,行业板块,4.08,3211475399.0
BK1164.DC,AIPC,20260522,2933.7,4.38,概念板块,4.75,106393861817.0
BK1287.DC,工业金属,20260522,3624.12,4.34,行业板块,2.52,54797554307.0
BK1101.DC,先进封装,20260522,3496.75,4.3,概念板块,9.52,108208495026.0
BK1622.DC,镍,20260522,7038.02,4.29,行业板块,3.33,3634732343.0
BK1177.DC,荣耀概念,20260522,2476.38,4.25,概念板块,11.25,88088462193.0
BK1304.DC,锂电专用设备,20260522,29766.09,4.25,行业板块,4.37,8483456112.0
BK1162.DC,AI手机,20260522,2215.09,4.05,概念板块,5.01,55199395760.0
BK0478.DC,有色金属,20260522,30612.51,4.0,行业板块,2.7,141209018377.0
BK0960.DC,无线充电,20260522,3936.94,3.97,概念板块,4.46,65068622311.0
BK1305.DC,燃料电池,20260522,366.87,3.95,行业板块,2.79,137105330.0
BK1614.DC,铅锌,20260522,2869.07,3.94,行业板块,4.07,9488386019.0
BK1059.DC,百元股,20260522,1097.86,3.86,概念板块,4.67,806622860150.0
BK0840.DC,OLED,20260522,4605.72,3.83,概念板块,8.94,278410306055.0
BK1020.DC,非金属材料Ⅱ,20260522,2193.08,3.83,行业板块,4.16,7366216814.0
BK1180.DC,华为海思,20260522,2289.89,3.83,概念板块,6.74,77990284644.0
