ts_code,name,pct_change,leading,leading_pct,up_num,down_num,turnover_rate,total_mv,idx_type
BK0890.DC,MLCC,11.22,风华高科,10.0,18,0,8.45,70765632.0,概念板块
BK1462.DC,玻纤制造,8.41,山东玻纤,9.99,8,0,7.0,55397641.6,行业板块
BK1340.DC,印制电路板,8.21,鹏鼎控股,10.0,46,0,7.06,272168520.0,行业板块
BK0459.DC,元件,8.04,鹏鼎控股,10.0,64,1,6.96,325100899.2,行业板块
BK0976.DC,被动元件概念,7.94,风华高科,10.0,26,2,7.45,90692875.2,概念板块
BK1339.DC,被动元件,7.64,风华高科,10.0,18,1,6.67,52932377.6,行业板块
BK0816.DC,昨日连板,7.24,大众交通,10.05,3,1,11.97,2993452.3,概念板块
BK1023.DC,培育钻石,7.15,黄河旋风,10.01,14,1,3.29,27980721.6,概念板块
BK1397.DC,磨具磨料,7.12,黄河旋风,10.01,14,0,6.85,14584159.7,行业板块
BK0877.DC,PCB,7.01,鹏鼎控股,10.0,143,1,5.93,528905011.2,概念板块
BK1051.DC,昨日连板_含一字,6.49,金利华电,20.0,4,2,12.92,4046063.4,概念板块
BK1113.DC,复合集流体,5.93,双星新材,10.05,28,2,5.15,58399884.8,概念板块
BK1439.DC,膜材料,5.81,双星新材,10.05,19,1,6.75,26390032.1,行业板块
BK1615.DC,铜,5.66,铜陵有色,10.03,17,0,2.28,186167406.4,行业板块
BK1618.DC,磁性材料,5.61,龙磁科技,17.07,15,0,2.81,22157771.9,行业板块
BK1625.DC,钨,5.58,中钨高新,10.0,4,0,5.11,27067112.0,行业板块
BK1675.DC,历史新高,5.54,飞亚达,9.99,19,4,2.61,409662998.4,概念板块
BK0546.DC,玻璃玻纤,5.47,山东玻纤,9.99,14,2,5.74,61615100.8,行业板块
BK0855.DC,纳米银,5.36,行云科技,11.47,6,1,8.34,13733191.1,概念板块
BK1424.DC,氟化工,5.34,三美股份,9.99,10,0,6.37,31109856.0,行业板块
BK0901.DC,3D摄像头,5.28,水晶光电,10.01,8,1,5.63,84026820.8,概念板块
BK1288.DC,金属新材料,5.15,博迁新材,10.0,35,1,3.27,48609604.8,行业板块
BK1334.DC,光学元件,5.14,水晶光电,10.01,23,2,7.67,47553657.6,行业板块
BK1168.DC,铜缆高速连接,5.08,意华股份,10.01,37,1,4.63,138715980.8,概念板块
BK1409.DC,激光设备,4.85,杰普特,18.28,10,0,6.8,43561710.4,行业板块
BK1128.DC,CPO概念,4.84,景旺电子,10.0,51,3,4.84,680941798.4,概念板块
BK1619.DC,其他金属新材料,4.82,博迁新材,10.0,20,1,3.66,26451832.5,行业板块
BK1136.DC,光通信模块,4.82,鹏鼎控股,10.0,88,3,5.83,672634291.2,概念板块
BK1332.DC,电子化学品Ⅲ,4.75,天承科技,20.0,33,3,8.92,78292220.8,行业板块
BK1039.DC,电子化学品Ⅱ,4.75,天承科技,20.0,33,3,8.92,78292220.8,行业板块
BK0703.DC,超级电容,4.72,风华高科,10.0,26,3,3.63,90866536.0,概念板块
BK0674.DC,蓝宝石,4.71,水晶光电,10.01,17,1,6.38,91377513.6,概念板块
