ts_code,name,trade_date,lu_time,ld_time,open_time,last_time,lu_desc,tag,theme,net_change,bid_amount,status,bid_change,bid_turnover,lu_bid_vol,pct_chg,bid_pct_chg,rt_pct_chg,limit_order,amount,turnover_rate,free_float,lu_limit_order
000725.SZ,京东方Ａ,20260522,13:49:18,,,14:53:42,芯片,涨停,玻璃基板、面板,2084532127.0,,2连板,,,,,,,195972128.0,29162865531.0,18.78,165151492582.0,1821281024.0
002463.SZ,沪电股份,20260522,10:04:36,,,13:30:39,通信,涨停,印制电路板、通信,1820312611.0,,首板,,,,,,,595432640.0,11400045606.0,7.74,149937400625.0,1033502720.0
000657.SZ,中钨高新,20260522,11:27:45,,,11:27:45,通信,涨停,PCB设备、印制电路板,1156548665.0,,首板,,,,,,,249346720.0,5545023114.0,10.27,55784908684.0,2585656832.0
000630.SZ,铜陵有色,20260522,13:35:27,,,14:02:36,通信,涨停,PCB铜箔、通信,950661940.0,,首板,,,,,,,85370736.0,3024948636.0,6.73,46412379246.0,390197088.0
600186.SH,莲花控股,20260522,09:35:54,,,10:20:24,通信,涨停,印制电路板、算力,925173724.0,,首板,,,,,,,86562248.0,2564578190.0,15.3,16944034184.0,762117952.0
002916.SZ,深南电路,20260522,13:01:24,,,13:33:27,通信,涨停,印制电路板、通信,803104291.0,,首板,,,,,,,103536656.0,5585495347.0,6.33,89475684057.0,667559552.0
603256.SH,宏和科技,20260522,09:42:07,,,10:34:22,通信,涨停,电子布、通信,770716905.0,,首板,,,,,,,145919168.0,3052714769.0,13.81,22418327250.0,666182528.0
603228.SH,景旺电子,20260522,09:38:24,,,10:23:57,通信,涨停,印制电路板、英伟达概念,763374590.0,,首板,,,,,,,248839808.0,3657305884.0,10.75,34229927292.0,1082147584.0
600160.SH,巨化股份,20260522,13:07:54,,,13:20:18,化工,涨停,氢氟酸、化工,651062312.0,,首板,,,,,,,70087016.0,3197061916.0,7.32,44915481167.0,742316864.0
600183.SH,生益科技,20260522,13:03:22,,,13:26:19,通信,涨停,覆铜板、通信,619334425.0,,首板,,,,,,,183700176.0,7105588844.0,5.53,130530617408.0,642778304.0
002432.SZ,九安医疗,20260522,10:58:24,,,11:10:30,创投,涨停,创投、AI应用,604535286.0,,首板,,,,,,,231359200.0,2778802307.0,10.34,27790728614.0,438254688.0
600601.SH,方正科技,20260522,13:18:11,,,14:03:47,通信,涨停,印制电路板、通信,604069024.0,,首板,,,,,,,87340336.0,4282244140.0,13.03,33602972218.0,878078336.0
002245.SZ,蔚蓝锂芯,20260522,11:28:21,,,14:18:06,锂电池,涨停,锂电池、固态电池,548495809.0,,首板,,,,,,,58385560.0,3302294789.0,12.09,28291816857.0,1166912128.0
002421.SZ,达实智能,20260522,10:51:06,,,10:51:06,物理AI,涨停,物理AI、算力,523277339.0,,6天5板,,,,,,,196415776.0,2694157527.0,37.79,7470809891.0,669424000.0
002938.SZ,鹏鼎控股,20260522,09:30:00,,,09:30:00,通信,涨停,印制电路板、通信,517838277.0,,首板,,,,,,,684022656.0,1527127023.0,2.2,69293599357.0,2623598080.0
000997.SZ,新大陆,20260522,13:34:42,,,14:47:21,物理AI,涨停,AI应用、物理AI,505941159.0,,首板,,,,,,,32202412.0,1798587194.0,10.72,17331235561.0,575631616.0
000636.SZ,风华高科,20260522,09:31:00,,,09:31:42,元器件,涨停,电阻电容、元器件,472971079.0,,4天2板,,,,,,,296873440.0,1172661611.0,3.55,33258853275.0,881519360.0
002272.SZ,川润股份,20260522,13:12:09,,,14:29:12,算力,涨停,液冷、算力,470469800.0,,5天4板,,,,,,,72199136.0,3121614058.0,38.34,8525406576.0,541512960.0
002980.SZ,华盛昌,20260522,10:02:21,,,11:06:24,通信,涨停,光模块、通信,448993837.0,,首板,,,,,,,59086124.0,1749756959.0,24.37,7353221019.0,392412416.0
601208.SH,东材科技,20260522,13:02:57,,,13:30:21,通信,涨停,通信、OLED,448148804.0,,首板,,,,,,,11613689.0,4279248167.0,10.93,40432163169.0,273909632.0
000060.SZ,中金岭南,20260522,13:00:33,,,13:00:33,有色金属,涨停,有色金属、小金属概念,402235532.0,,首板,,,,,,,219693104.0,1298780345.0,5.74,23513303236.0,792089472.0
002273.SZ,水晶光电,20260522,13:09:39,,,13:25:21,通信,涨停,物理AI、AI眼镜,400688071.0,,首板,,,,,,,122188208.0,4278296112.0,8.87,49951628428.0,850140416.0
002080.SZ,中材科技,20260522,13:14:30,,,13:27:15,通信,涨停,电子布、玻纤,396512140.0,,首板,,,,,,,71778032.0,3457930137.0,7.44,47559579669.0,557321536.0
600172.SH,黄河旋风,20260522,09:30:28,,,09:38:49,金刚石概念,涨停,金刚石概念、培育钻石,362150655.0,,首板,,,,,,,164829120.0,860569117.0,8.34,10337199360.0,448715104.0
000962.SZ,东方钽业,20260522,11:21:24,,,11:21:24,有色金属,涨停,有色金属、钽电容,339978918.0,,首板,,,,,,,100920008.0,1786546882.0,9.96,18381234164.0,1026453120.0
605006.SH,山东玻纤,20260522,09:44:29,,,10:29:38,化工,涨停,玻纤、化工,337987890.0,,首板,,,,,,,58719644.0,1117323709.0,37.28,3046880029.0,493320672.0
600563.SH,法拉电子,20260522,13:37:01,,,14:24:40,元器件,涨停,电阻电容、汽车类,334653012.0,,4天3板,,,,,,,40349076.0,2884837818.0,13.23,22501849500.0,522025120.0
603678.SH,火炬电子,20260522,10:00:05,,,13:03:32,元器件,涨停,电阻电容、元器件,315282822.0,,首板,,,,,,,57447720.0,1502130112.0,14.27,10694268471.0,480841760.0
301013.SZ,利和兴,20260522,13:14:06,,,14:56:18,芯片,涨停,存储、芯片,314667924.0,,3天2板,,,,,,,7625520.0,3325267077.0,48.26,7366121756.0,164359952.0
002741.SZ,光华科技,20260522,09:35:06,,,13:36:03,通信,涨停,印制电路板、通信,282982588.0,,首板,,,,,,,35995984.0,1889963343.0,25.69,7448692900.0,821717248.0
603459.SH,红板科技,20260522,14:47:42,,,14:47:42,通信,涨停,印制电路板、CPO/MPO,282336592.0,,首板,,,,,,,77602232.0,3312146014.0,41.1,8348666723.0,314463808.0
603186.SH,华正新材,20260522,10:03:38,,,14:05:05,通信,涨停,覆铜板、通信,271563680.0,,3天2板,,,,,,,19873224.0,1859412539.0,15.62,12224904006.0,103567392.0
000670.SZ,盈方微,20260522,13:49:06,,,14:55:03,芯片,涨停,存储、芯片,261626656.0,,首板,,,,,,,45714224.0,1156970184.0,19.2,6210809377.0,434738272.0
002121.SZ,科陆电子,20260522,10:45:03,,,10:56:48,智能电网,涨停,智能电网、PCS设备,246731566.0,,首板,,,,,,,47839884.0,638150418.0,8.1,8100865308.0,588392000.0
600888.SH,新疆众和,20260522,11:15:23,,,11:15:23,元器件,涨停,电阻电容、元器件,236031431.0,,首板,,,,,,,77873464.0,1002045440.0,10.86,9583371206.0,574242304.0
600416.SH,湘电股份,20260522,13:05:27,,,13:32:00,商业航天,涨停,商业航天、稀土永磁,219869678.0,,首板,,,,,,,16300076.0,1103215429.0,9.26,12324748648.0,479173408.0
002585.SZ,双星新材,20260522,11:10:21,,,11:10:21,元器件,涨停,电阻电容、复合集流体,216122443.0,,首板,,,,,,,95242776.0,771388931.0,13.21,6108475193.0,740377280.0
603663.SH,三祥新材,20260522,14:24:33,,,14:24:33,芯片,涨停,芯片、稀土永磁,214854110.0,,3天2板,,,,,,,56143216.0,1036780193.0,11.91,9149825309.0,407398784.0
600545.SH,卓郎智能,20260522,09:45:36,,,09:45:36,通信,涨停,电子布、通信,214327047.0,,首板,,,,,,,100970176.0,644458068.0,10.76,6156293123.0,611865600.0
600596.SH,新安股份,20260522,10:34:11,,,13:01:20,机器人概念,涨停,机器人概念、化工,210810352.0,,首板,,,,,,,71302536.0,1005438024.0,8.22,12507274586.0,563717632.0
300179.SZ,四方达,20260522,09:46:15,,,13:41:33,金刚石概念,涨停,金刚石概念、专精特新,201654373.0,,首板,,,,,,,23291888.0,2902010202.0,30.62,9794165029.0,876581632.0
603806.SH,福斯特,20260522,13:59:58,,,14:03:55,通信,涨停,印制电路板、POE胶膜,201581162.0,,首板,,,,,,,64444780.0,1399326075.0,8.36,17399974487.0,323656064.0
603267.SH,鸿远电子,20260522,13:02:33,,,13:35:36,元器件,涨停,电阻电容、元器件,190032877.0,,首板,,,,,,,36661228.0,1508715246.0,16.32,9430254298.0,404991456.0
603936.SH,博敏电子,20260522,10:03:39,,,13:33:51,通信,涨停,无人驾驶、商业航天,189296993.0,,首板,,,,,,,49719324.0,2388941471.0,21.91,11139068429.0,360591712.0
603890.SH,春秋电子,20260522,09:47:55,,,09:58:16,算力,涨停,液冷、端侧AI,182360985.0,,首板,,,,,,,52269452.0,1111606964.0,15.91,7146258480.0,284047456.0
002733.SZ,雄韬股份,20260522,10:33:45,,,10:33:45,算力,涨停,算力、氢燃料电池,180398643.0,,首板,,,,,,,63452180.0,709770054.0,11.36,6413840982.0,763835392.0
002931.SZ,锋龙股份,20260522,10:03:51,,,14:00:03,机器人概念,涨停,机器人概念、汽车零部件,175599637.0,,2连板,,,,,,,30246320.0,1897729172.0,30.68,6485902098.0,293448736.0
603115.SH,海星股份,20260522,09:54:03,,,10:49:45,元器件,涨停,电阻电容、服务器,172921222.0,,5天3板,,,,,,,51571852.0,1088123527.0,11.32,9908890747.0,250031600.0
603379.SH,三美股份,20260522,10:18:57,,,10:39:09,化工,涨停,化工、制冷剂,170610194.0,,首板,,,,,,,68592592.0,911769444.0,6.18,15154136634.0,308706624.0
600497.SH,驰宏锌锗,20260522,13:34:20,,,14:03:06,有色金属,涨停,有色金属、金属锌,170007266.0,,首板,,,,,,,111473280.0,2574760534.0,8.81,30444502962.0,222442016.0
301377.SZ,鼎泰高科,20260522,13:00:45,,,13:00:45,通信,涨停,PCB设备、印制电路板,163867674.0,,首板,,,,,,,83534624.0,1819327369.0,8.53,22500610271.0,512253728.0
002975.SZ,博杰股份,20260522,09:48:00,,,09:48:00,芯片,涨停,磷化铟、端侧AI,156048420.0,,首板,,,,,,,104377056.0,1135188851.0,8.71,13271160296.0,860211776.0
002552.SZ,宝鼎科技,20260522,09:32:06,,,09:45:12,通信,涨停,PCB铜箔、通信,155041478.0,,首板,,,,,,,83040624.0,790452053.0,15.15,5281100968.0,361358528.0
603232.SH,格尔软件,20260522,09:30:00,,,09:30:00,数字经济,涨停,量子科技、算力,152191746.0,,首板,,,,,,,47528872.0,318401487.0,9.64,3302153453.0,608015616.0
301628.SZ,强达电路,20260522,10:03:36,,,11:29:06,通信,涨停,印制电路板、通信,149663867.0,,首板,,,,,,,67996344.0,1152682391.0,31.96,3768250644.0,455944544.0
002897.SZ,意华股份,20260522,14:44:03,,,14:50:21,通信,涨停,高速连接、通信,143624085.0,,首板,,,,,,,26332094.0,1451232715.0,19.81,7632089340.0,86890176.0
603989.SH,艾华集团,20260522,09:37:16,,,09:37:55,元器件,涨停,电阻电容、算力,143130301.0,,5天3板,,,,,,,180415840.0,445225143.0,11.74,3872596681.0,362569568.0
002885.SZ,京泉华,20260522,09:34:54,,,11:14:57,智能电网,涨停,固态变压器、算力,136961845.0,,首板,,,,,,,49535552.0,1569510246.0,17.9,8937947467.0,320976320.0
002046.SZ,国机精工,20260522,13:00:03,,,13:00:03,金刚石概念,涨停,金刚石概念、芯片,136482446.0,,首板,,,,,,,106245904.0,1145819981.0,7.99,14723015967.0,438247232.0
688020.SH,方邦股份,20260522,10:03:04,,,11:29:34,通信,涨停,PCB铜箔、复合集流体,132832426.0,,首板,,,,,,,60167956.0,1063164968.0,17.04,6490694564.0,191111696.0
000510.SZ,新金路,20260522,09:47:30,,,09:47:30,有色金属,涨停,金属钨、化工,131602491.0,,首板,,,,,,,109291328.0,470852826.0,5.95,8128388776.0,960758528.0
002606.SZ,大连电瓷,20260522,10:14:15,,,10:14:15,智能电网,涨停,电气设备、智能电网,128654398.0,,首板,,,,,,,139358816.0,642381135.0,13.43,4920114188.0,717706752.0
002036.SZ,联创电子,20260522,13:52:15,,,13:59:15,智能驾驶,涨停,无人驾驶、光学镜头,127002155.0,,2连板,,,,,,,72112360.0,2043053101.0,21.35,9927687672.0,240082912.0
000818.SZ,航锦科技,20260522,13:04:18,,,13:04:18,算力,涨停,算力租赁、算力,125116072.0,,首板,,,,,,,85316992.0,728887214.0,9.85,7716823519.0,780172416.0
605376.SH,博迁新材,20260522,09:31:46,,,10:07:28,元器件,涨停,元器件、有色金属,122750209.0,,4天2板,,,,,,,133470952.0,1509547702.0,6.0,25261056072.0,215677776.0
