ts_code,name,trade_date,pct_chg,days,up_stat,cons_nums,up_nums,rank
885959.TI,PCB概念,20260522,6.3258,1,5天3板,3,27,4
886033.TI,共封装光学(CPO),20260522,5.2905,1,4天2板,3,18,17
885800.TI,消费电子概念,20260522,3.5161,3,5天4板,6,23,8
885556.TI,5G,20260522,3.4372,1,5天4板,6,27,5
885756.TI,芯片概念,20260522,3.1048,10,3天2板,6,35,2
885545.TI,汽车电子,20260522,3.0887,2,5天4板,7,22,10
885710.TI,锂电池概念,20260522,2.8773,1,4天2板,3,25,7
885531.TI,光伏概念,20260522,2.6742,1,4天3板,5,22,11
885887.TI,数据中心,20260522,2.6427,5,6天5板,7,21,13
886078.TI,商业航天,20260522,2.588,1,4天2板,2,16,19
885997.TI,比亚迪概念,20260522,2.5543,1,5天4板,5,16,20
885431.TI,新能源汽车,20260522,2.5256,18,5天4板,7,38,1
885929.TI,专精特新,20260522,2.46,1,5天3板,4,19,16
885806.TI,华为概念,20260522,2.3979,13,6天5板,10,34,3
885921.TI,储能,20260522,2.3103,1,5天4板,8,23,9
885700.TI,军工,20260522,2.2556,1,5天4板,5,22,12
886107.TI,2025年报预增,20260522,2.2054,2,4天2板,1,17,18
885517.TI,机器人概念,20260522,2.1175,12,6天5板,9,27,6
885494.TI,一带一路,20260522,1.4819,2,2天2板,4,21,14
885699.TI,ST板块,20260522,0.8875,1,5天4板,1,21,15
