用户题材,数据源,匹配名称,代码,涨跌幅,涨停数,上涨家数,其他
机器人,东财dc_index,人形机器人,BK1184.DC,2.33,,190,博杰股份
机器人,东财dc_index,机器人概念,BK1090.DC,2.11,,536,风华高科
机器人,东财dc_index,机器人执行器,BK1145.DC,1.07,,24,国机精工
机器人,东财dc_index,虚拟机器人,BK1190.DC,0.82,,8,风华高科
机器人,东财dc_index,机器人,BK1408.DC,0.52,,12,埃夫特-U
机器人,同花顺概念N,人形机器人,886069.TI,2.2937,,,
机器人,同花顺概念N,机器人概念,885517.TI,2.1175,,,
半导体,东财dc_index,第三代半导体,BK0952.DC,3.62,,98,京泉华
半导体,东财dc_index,半导体概念,BK0917.DC,3.39,,417,鹏鼎控股
半导体,东财dc_index,AI芯片,BK1127.DC,3.34,,33,国科微
半导体,东财dc_index,模拟芯片设计,BK1330.DC,3.22,,31,慧智微-U
半导体,东财dc_index,数字芯片设计,BK1331.DC,3.16,,46,国科微
半导体,东财dc_index,存储芯片,BK1137.DC,3.0,,99,博杰股份
半导体,东财dc_index,半导体,BK1036.DC,2.99,,153,慧智微-U
半导体,东财dc_index,汽车芯片,BK0969.DC,2.91,,59,格尔软件
半导体,东财dc_index,国产芯片,BK0891.DC,2.81,,320,格林达
半导体,东财dc_index,半导体材料,BK1325.DC,2.76,,25,天岳先进
半导体,东财dc_index,半导体设备,BK1326.DC,1.49,,15,耐科装备
半导体,东财dc_index,第四代半导体,BK1121.DC,0.87,,3,南大光电
半导体,同花顺概念N,第三代半导体,885908.TI,3.7558,,,
半导体,同花顺概念N,存储芯片,886042.TI,3.2032,,,
半导体,同花顺概念N,芯片概念,885756.TI,3.1048,,,
半导体,同花顺概念N,汽车芯片,885945.TI,2.7853,,,
半导体,同花顺概念N,MCU芯片,885925.TI,2.7639,,,
电网,东财dc_index,特高压,BK0918.DC,2.57,,75,金利华电
电网,东财dc_index,智能电网,BK0581.DC,2.35,,168,金利华电
电网,东财dc_index,电力设备,BK1200.DC,2.33,,328,金利华电
电网,东财dc_index,电网概念,BK1647.DC,2.25,,190,金利华电
电网,东财dc_index,电网自动化设备,BK1309.DC,2.14,,22,智洋创新
电网,东财dc_index,电网设备,BK0457.DC,2.05,,112,金利华电
电网,东财dc_index,综合电力设备商,BK1323.DC,1.4,,1,上海电气
电网,东财dc_index,电力,BK0428.DC,1.19,,77,恒盛能源
电网,东财dc_index,绿色电力,BK1024.DC,1.03,,113,恒盛能源
电网,同花顺概念N,特高压,885425.TI,2.7671,,,
电网,同花顺概念N,智能电网,885311.TI,2.4552,,,
电网,同花顺概念N,电力物联网,885819.TI,2.2931,,,
电网,同花顺概念N,绿色电力,885936.TI,1.3707,,,
算力,东财dc_index,算力概念,BK1134.DC,2.38,,167,科新发展
算力,东财dc_index,数据中心,BK0922.DC,2.3,,198,大众交通
算力,东财dc_index,东数西算,BK1064.DC,2.04,,57,申菱环境
算力,同花顺概念N,数据中心,885887.TI,2.6427,,,
算力,同花顺概念N,东数西算(算力),885957.TI,2.4316,,,
算力,同花顺概念N,算力租赁,886050.TI,2.0191,,,
AI应用,东财dc_index,人工智能,BK0800.DC,1.67,,514,狮头股份
AI应用,东财dc_index,AI智能体,BK0809.DC,1.36,,99,莲花控股
AI应用,东财dc_index,多模态AI,BK1153.DC,1.34,,48,九安医疗
AI应用,东财dc_index,AI应用,BK1629.DC,1.05,,143,达实智能
AI应用,东财dc_index,AIGC概念,BK1111.DC,0.96,,76,科大国创
AI应用,东财dc_index,ChatGPT概念,BK1126.DC,0.92,,41,科大国创
AI应用,同花顺概念N,多模态AI,886062.TI,1.422,,,
AI应用,同花顺概念N,人工智能,885728.TI,1.3905,,,
AI应用,同花顺概念N,AI智能体,886099.TI,1.2985,,,
AI应用,同花顺概念N,AI应用,886108.TI,1.158,,,
AI应用,同花顺概念N,Sora概念(文生视频),886068.TI,0.9738,,,
AI应用,同花顺概念N,AIGC概念,886019.TI,0.9365,,,
AI应用,同花顺概念N,ChatGPT概念,886031.TI,0.8384,,,
