ts_code,name,type,trade_date,pct_change,pct_chg,close,vol
885937.TI,培育钻石,N,20260522,7.2432,,2308.096,6371635.1
885959.TI,PCB概念,N,20260522,6.3258,,2852.047,76150168.0
886082.TI,同花顺果指数,N,20260522,5.6711,,2565.397,80891556.0
886033.TI,共封装光学(CPO),N,20260522,5.2905,,6536.836,87675024.0
886020.TI,PET铜箔,N,20260522,5.2179,,2183.5,19887697.0
885886.TI,超级电容,N,20260522,5.022,,3441.208,16211807.0
885786.TI,富士康概念,N,20260522,4.5769,,4048.767,34421566.0
886091.TI,华为手机,N,20260522,4.5762,,1908.744,22715575.0
886071.TI,AI PC,N,20260522,4.4311,,2623.533,23642509.0
886073.TI,铜缆高速连接,N,20260522,4.3003,,3367.965,16439945.0
885376.TI,苹果概念,N,20260522,4.2556,,6758.399,114543578.0
885875.TI,MiniLED,N,20260522,4.0535,,2999.488,125358115.0
885969.TI,金属镍,N,20260522,3.9253,,1393.636,22904939.0
886048.TI,英伟达概念,N,20260522,3.9184,,2035.492,31581326.0
886054.TI,光刻机,N,20260522,3.8967,,2887.814,10942471.4
886009.TI,先进封装,N,20260522,3.8733,,2807.118,67914767.0
885908.TI,第三代半导体,N,20260522,3.7558,,2804.973,69410686.0
886084.TI,光纤概念,N,20260522,3.7529,,4144.802,101946785.0
885893.TI,国家大基金持股,N,20260522,3.7472,,3019.273,23989892.0
886053.TI,BC电池,N,20260522,3.677,,1453.947,18995903.0
885998.TI,F5G概念,N,20260522,3.6308,,4905.246,12150827.5
885931.TI,PVDF概念,N,20260522,3.5193,,1575.355,8060136.8
885800.TI,消费电子概念,N,20260522,3.5161,,3577.871,170876360.0
885343.TI,稀土永磁,N,20260522,3.4798,,3856.495,24922144.0
885774.TI,无线充电,N,20260522,3.4707,,2432.299,26559550.0
885940.TI,WiFi6,N,20260522,3.4567,,2458.479,14568758.0
885556.TI,5G,N,20260522,3.4372,,7162.379,181350610.0
885738.TI,OLED,N,20260522,3.4139,,3341.439,150556450.0
886085.TI,AI眼镜,N,20260522,3.3919,,2969.925,141266280.0
885809.TI,柔性屏(折叠屏),N,20260522,3.3489,,3644.543,128145755.0
885970.TI,金属锌,N,20260522,3.3057,,2308.186,25222184.0
885973.TI,金属铜,N,20260522,3.2908,,1924.901,44140259.0
885971.TI,金属铅,N,20260522,3.2838,,2016.457,23237972.0
885987.TI,MicroLED概念,N,20260522,3.2679,,1996.774,117672770.0
886035.TI,毫米波雷达,N,20260522,3.2577,,2317.432,45017925.0
886042.TI,存储芯片,N,20260522,3.2032,,2803.316,75368253.0
885865.TI,金属钴,N,20260522,3.2012,,3007.772,19590380.0
886070.TI,AI手机,N,20260522,3.1371,,2333.415,22675813.0
886044.TI,液冷服务器,N,20260522,3.1141,,2484.437,88265062.0
885756.TI,芯片概念,N,20260522,3.1048,,5456.407,351384540.0
886001.TI,高压快充,N,20260522,3.0983,,2243.235,28925139.0
885545.TI,汽车电子,N,20260522,3.0887,,6290.789,133598039.0
886037.TI,6G概念,N,20260522,3.0654,,2833.331,42607568.0
885899.TI,新型烟草(电子烟),N,20260522,3.053,,2208.973,13266275.7
885864.TI,光刻胶,N,20260522,3.0365,,5273.599,16928212.0
886032.TI,固态电池,N,20260522,2.9836,,1671.79,86144462.0
885843.TI,华为海思概念股,N,20260522,2.9766,,4526.678,16747081.0
885552.TI,小金属概念,N,20260522,2.9468,,3842.6,77588845.0
885972.TI,金属回收,N,20260522,2.9233,,1324.168,33734448.0
885555.TI,PM2.5,N,20260522,2.8897,,2003.399,7208088.2
885789.TI,宁德时代概念,N,20260522,2.8863,,2649.17,98464816.0
885710.TI,锂电池概念,N,20260522,2.8773,,2202.603,174005900.0
886028.TI,血氧仪,N,20260522,2.8613,,1789.857,5160314.0
885946.TI,传感器,N,20260522,2.8552,,1832.883,136538550.0
885530.TI,黄金概念,N,20260522,2.8459,,3840.47,42839022.0
885355.TI,石墨烯,N,20260522,2.8434,,1900.555,21784802.0
886007.TI,TOPCON电池,N,20260522,2.8243,,1328.194,29949308.0
886006.TI,钙钛矿电池,N,20260522,2.8222,,1351.499,91050585.0
886109.TI,2026一季报预增,N,20260522,2.8197,,1248.768,30371379.0
885912.TI,有机硅概念,N,20260522,2.8174,,2219.285,11200683.5
886038.TI,超导概念,N,20260522,2.7989,,2861.27,15154843.0
885945.TI,汽车芯片,N,20260522,2.7853,,1508.089,48890110.0
885425.TI,特高压,N,20260522,2.7671,,5783.361,51632010.0
885925.TI,MCU芯片,N,20260522,2.7639,,1896.249,20814437.0
885454.TI,智能穿戴,N,20260522,2.7592,,4879.836,149080950.0
885948.TI,柔性直流输电,N,20260522,2.752,,1784.941,25951581.0
886002.TI,机器视觉,N,20260522,2.7285,,2213.813,50944321.0
885537.TI,3D打印,N,20260522,2.7202,,5032.392,32436313.0
885785.TI,小米概念,N,20260522,2.6866,,2327.92,197980250.0
885531.TI,光伏概念,N,20260522,2.6742,,4983.746,254116360.0
885887.TI,数据中心,N,20260522,2.6427,,2643.217,226287400.0
886040.TI,MLOps概念,N,20260522,2.6425,,1164.774,5060006.3
885878.TI,HJT电池,N,20260522,2.6256,,3610.784,19079954.0
885650.TI,碳纤维,N,20260522,2.6152,,2282.082,18300195.0
885730.TI,量子科技,N,20260522,2.5964,,2796.989,35456696.0
886078.TI,商业航天,N,20260522,2.588,,2545.789,143733810.0
886059.TI,智能座舱,N,20260522,2.5854,,1850.092,114267730.0
885868.TI,无线耳机,N,20260522,2.5839,,2844.017,37708693.0
885997.TI,比亚迪概念,N,20260522,2.5543,,2212.562,198579700.0
885953.TI,电子纸,N,20260522,2.5391,,1429.328,73917509.0
886046.TI,MR(混合现实),N,20260522,2.5355,,1991.372,25287000.0
885551.TI,氟化工概念,N,20260522,2.5328,,5660.857,28568638.0
885431.TI,新能源汽车,N,20260522,2.5256,,5301.903,280953440.0
885771.TI,智能音箱,N,20260522,2.5159,,3042.976,19707097.0
885467.TI,特斯拉概念,N,20260522,2.4938,,6429.659,85989200.0
885929.TI,专精特新,N,20260522,2.46,,1853.85,132569445.0
885311.TI,智能电网,N,20260522,2.4552,,4480.88,75876664.0
886043.TI,太赫兹,N,20260522,2.4446,,2410.897,9008208.9
885928.TI,钠离子电池,N,20260522,2.4328,,1496.798,42718715.0
885957.TI,东数西算(算力),N,20260522,2.4316,,2544.365,152459510.0
885863.TI,磷化工,N,20260522,2.4041,,3340.041,19396471.0
885806.TI,华为概念,N,20260522,2.3979,,3896.779,384433610.0
885633.TI,染料,N,20260522,2.3778,,1664.69,6313251.3
886026.TI,POE胶膜,N,20260522,2.366,,970.405,5619226.5
885930.TI,工业母机,N,20260522,2.3644,,2267.466,27452287.0
885775.TI,燃料电池,N,20260522,2.3603,,2274.112,62351226.0
886093.TI,华为数字能源,N,20260522,2.3508,,1856.833,16378872.0
885574.TI,卫星导航,N,20260522,2.3365,,5350.075,78911597.0
886052.TI,核污染防治,N,20260522,2.3355,,1747.884,14751582.0
885944.TI,动力电池回收,N,20260522,2.3169,,1012.791,30288727.0
885921.TI,储能,N,20260522,2.3103,,2868.382,347463300.0
886069.TI,人形机器人,N,20260522,2.2937,,2821.16,121975426.0
885819.TI,电力物联网,N,20260522,2.2931,,2351.139,17207378.0
885652.TI,钛白粉概念,N,20260522,2.2889,,2137.658,4900349.4
885564.TI,无人机,N,20260522,2.2734,,3459.332,114830879.0
885700.TI,军工,N,20260522,2.2556,,2687.634,155579400.0
885562.TI,高铁,N,20260522,2.249,,4031.882,40481367.0
885427.TI,高端装备,N,20260522,2.2363,,3796.329,96983290.0
886065.TI,可控核聚变,N,20260522,2.2353,,2594.82,43693464.0
