ts_code,name,type,trade_date,pct_change,pct_chg,close,vol
884071.TI,磨具磨料,I,20260522,8.0112,,5624.7,2910528.0
884093.TI,被动元件,I,20260522,7.9521,,7238.2,5319147.2
881270.TI,元件,I,20260522,7.8496,,24576.136,24368561.0
884092.TI,印制电路板,I,20260522,7.814,,5680.987,19049415.0
700468.TI,贵重金属与矿石(A股),I,20260522,7.0877,,3554.531,1086725.36
884059.TI,玻璃玻纤,I,20260522,6.4635,,5679.336,12501861.6
884285.TI,镍,I,20260522,5.8425,,11002.633,113335.46
884054.TI,铜,I,20260522,5.8121,,4058.111,14894592.0
700471.TI,铜(A股),I,20260522,5.8074,,1829.5107,7056841.18
884213.TI,膜材料,I,20260522,5.6618,,4086.256,6670665.1
884057.TI,磁性材料,I,20260522,5.6098,,4759.819,1870946.9
884282.TI,钨,I,20260522,5.5786,,8687.576,2286283.0
700565.TI,电子设备和仪器(A股),I,20260522,5.3524,,6724.908,106438635.5
884036.TI,氟化工,I,20260522,5.34,,5299.76,5839787.3
884231.TI,电子化学品Ⅲ,I,20260522,5.2184,,96469.785,13264903.8
881172.TI,电子化学品,I,20260522,5.2184,,96469.785,13264903.8
700496.TI,地面货运(A股),I,20260522,5.1327,,820.7562,404796.99
884096.TI,光学元件,I,20260522,4.9869,,4688.666,7710011.9
700475.TI,建筑产品Ⅳ(A股),I,20260522,4.9014,,3368.1314,9022665.05
700368.TI,建筑产品Ⅲ(A股),I,20260522,4.9014,,3368.3462,9022665.05
881114.TI,金属新材料,I,20260522,4.8511,,16460.709,4545733.0
884220.TI,激光设备,I,20260522,4.7112,,31840.788,2691906.7
881167.TI,非金属材料,I,20260522,4.5712,,33818.027,1707436.8
884058.TI,非金属材料Ⅲ,I,20260522,4.5712,,33818.027,1707436.8
881168.TI,工业金属,I,20260522,4.5118,,4752.504,36519896.0
700411.TI,电子设备、仪器和元件(A股),I,20260522,4.5041,,6325.416,204262842.7
700458.TI,多种化学制品(A股),I,20260522,4.2672,,2797.2815,3284613.25
700338.TI,技术硬件与设备(A股),I,20260522,4.2535,,6349.2276,246727610.97
884056.TI,其他金属新材料,I,20260522,4.2521,,4225.29,2674785.9
884053.TI,铝,I,20260522,4.0054,,3628.573,13740875.0
884055.TI,铅锌,I,20260522,3.9632,,4001.181,7884430.5
700566.TI,电子元件(A股),I,20260522,3.9509,,6128.2587,90132687.69
884284.TI,钴,I,20260522,3.9345,,59234.314,782928.13
881265.TI,塑料制品,I,20260522,3.8945,,11950.499,14152185.0
700567.TI,电子制造服务(A股),I,20260522,3.8824,,3458.2665,3446211.34
884048.TI,改性塑料,I,20260522,3.85,,3513.98,2915368.6
884228.TI,集成电路封测,I,20260522,3.8289,,11441.789,12890594.4
884311.TI,锂电专用设备,I,20260522,3.8175,,443775.77,3027432.1
700461.TI,特种化学制品(A股),I,20260522,3.8131,,4188.7342,14610434.65
700563.TI,通信设备Ⅳ(A股),I,20260522,3.7751,,6126.5122,32721230.13
700409.TI,通信设备Ⅲ(A股),I,20260522,3.7751,,6126.5122,32721230.13
884262.TI,通信网络设备及器件,I,20260522,3.7642,,29119.468,10055104.6
884046.TI,其他塑料制品,I,20260522,3.6991,,2545.54,2430435.1
881123.TI,其他电子,I,20260522,3.6974,,23533.851,9017897.4
884193.TI,其他电子Ⅲ,I,20260522,3.6974,,23533.851,9017897.4
700465.TI,铝(A股),I,20260522,3.6964,,2341.4872,16210192.74
884030.TI,涂料油墨,I,20260522,3.6353,,3329.56,1759178.8
700466.TI,多种金属与采矿(A股),I,20260522,3.6324,,2588.5959,39980279.03
700420.TI,复合型公用事业Ⅲ(A股),I,20260522,3.6268,,1492.3394,6903334.5
700583.TI,复合型公用事业Ⅳ(A股),I,20260522,3.6268,,1488.277,6903334.5
884090.TI,分立器件,I,20260522,3.6155,,7726.452,5014946.2
884051.TI,炭黑,I,20260522,3.5785,,1183.509,1503460.4
884098.TI,消费电子零部件及组装,I,20260522,3.5484,,4592.854,27311684.0
700507.TI,住宅建筑(A股),I,20260522,3.5385,,644.3113,400927.25
700308.TI,信息技术(A股),I,20260522,3.4751,,5760.4961,375429583.06
700590.TI,房地产经营公司(A股),I,20260522,3.3675,,1092.6341,2062290.57
884306.TI,光伏加工设备,I,20260522,3.3629,,19867.418,1979217.0
884263.TI,通信线缆及配套,I,20260522,3.3467,,34086.134,6967740.5
700497.TI,地面客运(A股),I,20260522,3.3387,,1251.5829,1248765.7
884044.TI,其他纤维,I,20260522,3.3313,,1847.533,3358185.8
700570.TI,半导体产品(A股),I,20260522,3.2978,,7590.0572,60957504.51
884288.TI,模拟芯片设计,I,20260522,3.2834,,26683.721,4589165.0
700365.TI,金属与采矿(A股),I,20260522,3.2681,,2493.6618,89861572.93
884211.TI,有机硅,I,20260522,3.2637,,5003.99,2258190.0
884085.TI,电机Ⅲ,I,20260522,3.1731,,4219.904,6224163.9
881277.TI,电机,I,20260522,3.1731,,4219.904,6224163.9
884309.TI,锂电池,I,20260522,3.159,,13252.338,9013753.9
884287.TI,数字芯片设计,I,20260522,3.118,,54317.634,10715219.0
884192.TI,仪器仪表,I,20260522,3.1138,,7891.675,5548797.8
881124.TI,消费电子,I,20260522,3.0899,,14197.305,28085787.0
884034.TI,其他化学制品,I,20260522,3.086,,3133.257,9545148.7
881129.TI,通信设备,I,20260522,3.0855,,10582.389,21398928.0
884200.TI,公交,I,20260522,3.0846,,3989.603,1012852.76
700410.TI,电脑与外围设备(A股),I,20260522,3.0404,,5477.8809,9743538.14
700564.TI,电脑硬件、储存设备及电脑周边(A股),I,20260522,3.0404,,5472.9671,9743538.14
884186.TI,其他小金属,I,20260522,3.0299,,6963.174,4987640.2
884227.TI,集成电路制造,I,20260522,3.025,,19347.846,4608800.3
881170.TI,小金属,I,20260522,3.0239,,9592.966,9749780.1
884083.TI,楼宇设备,I,20260522,2.9938,,2350.326,1018293.23
700457.TI,商品化工(A股),I,20260522,2.9455,,2367.4671,69223114.25
700469.TI,白银(A股),I,20260522,2.9352,,1405.573,1075163.29
881121.TI,半导体,I,20260522,2.9236,,17918.204,48516241.0
881266.TI,橡胶制品,I,20260522,2.917,,15819.124,2792730.2
700302.TI,原材料(A股),I,20260522,2.9016,,2441.8717,217406856.48
700321.TI,原材料Ⅱ(A股),I,20260522,2.9016,,2441.9425,217406856.48
884221.TI,其他自动化设备,I,20260522,2.8954,,72151.829,2347590.8
700362.TI,化学制品(A股),I,20260522,2.8938,,2678.5076,96599735.93
884073.TI,制冷空调设备,I,20260522,2.876,,5392.352,2581885.7
884091.TI,半导体材料,I,20260522,2.8663,,9968.834,7382831.3
884082.TI,其他专用设备,I,20260522,2.8563,,4187.166,12331897.8
884024.TI,无机盐,I,20260522,2.811,,4130.794,2015866.1
884101.TI,商用载客车,I,20260522,2.8011,,2438.147,891672.93
884149.TI,热力,I,20260522,2.8,,2735.771,4024425.7
700463.TI,金属、玻璃和塑料容器(A股),I,20260522,2.7724,,1666.8235,7458326.82
884305.TI,光伏辅材,I,20260522,2.7573,,6401.382,4577054.1
700373.TI,贸易公司与经销商Ⅲ(A股),I,20260522,2.7527,,1595.7119,8217413.88
700483.TI,贸易公司与经销商Ⅳ(A股),I,20260522,2.7527,,1596.0079,8217413.88
700467.TI,黄金(A股),I,20260522,2.7519,,4493.7085,5480583.62
700412.TI,半导体产品与设备Ⅲ(A股),I,20260522,2.7518,,8459.7845,67821827.37
700339.TI,半导体产品与设备Ⅱ(A股),I,20260522,2.7518,,8460.6417,67821827.37
881267.TI,能源金属,I,20260522,2.7109,,40038.26,3541992.6
884086.TI,电气自控设备,I,20260522,2.7072,,4593.637,6501888.2
700504.TI,摩托车制造商(A股),I,20260522,2.701,,3467.6483,300760.1
884214.TI,冶钢原料,I,20260522,2.6971,,4871.382,4875531.1
881109.TI,化学制品,I,20260522,2.6931,,8055.455,27145880.0
700482.TI,工业机械和用品及零部件(A股),I,20260522,2.6763,,2409.1077,61831461.84
884050.TI,其他橡胶制品,I,20260522,2.6689,,4205.786,1289269.84
881122.TI,光学光电子,I,20260522,2.6665,,6188.331,128467252.0
884023.TI,氯碱,I,20260522,2.6648,,1738.736,4885904.7
881281.TI,电池,I,20260522,2.6604,,23271.35,25533993.0
881117.TI,通用设备,I,20260522,2.5509,,10497.631,40311806.0
700568.TI,技术产品经销商(A股),I,20260522,2.5486,,2920.2974,4245308.17
884315.TI,通信应用增值服务,I,20260522,2.5249,,11970.682,7621587.1
884076.TI,纺织服装设备,I,20260522,2.5205,,2111.636,2181758.9
884264.TI,通信终端及配件,I,20260522,2.514,,10631.713,3254214.0
884266.TI,军工电子Ⅲ,I,20260522,2.4195,,14533.442,10364666.4
881276.TI,军工电子,I,20260522,2.4195,,14533.442,10364666.4
884225.TI,其他电源设备Ⅲ,I,20260522,2.418,,7581.877,7423172.3
881282.TI,其他电源设备,I,20260522,2.418,,7581.877,7423172.3
881279.TI,光伏设备,I,20260522,2.3951,,9706.727,24353594.0
700538.TI,医疗保健用品(A股),I,20260522,2.3654,,2173.0246,1798611.04
884021.TI,油品石化贸易,I,20260522,2.329,,1563.409,634656.24
881284.TI,环保设备,I,20260522,2.3079,,1590.255,5137958.8
884084.TI,环保设备Ⅲ,I,20260522,2.3079,,1590.255,5137958.8
700525.TI,家庭装饰零售(A股),I,20260522,2.296,,348.3129,299493.84
884185.TI,贵金属Ⅲ,I,20260522,2.2931,,5337.505,7183903.7
881169.TI,贵金属,I,20260522,2.2931,,5337.505,7183903.7
884303.TI,光伏电池组件,I,20260522,2.2903,,18505.939,10713978.8
881115.TI,建筑材料,I,20260522,2.258,,6232.534,22882318.0
884033.TI,纺织化学用品,I,20260522,2.2473,,1291.103,2385113.1
881171.TI,自动化设备,I,20260522,2.2411,,33671.004,13866468.0
881269.TI,轨交设备,I,20260522,2.2352,,1131.671,4124209.0
884105.TI,轨交设备Ⅲ,I,20260522,2.2352,,1131.671,4124209.0
884136.TI,鞋帽及其他,I,20260522,2.2343,,1975.408,1190570.64
884132.TI,其他纺织,I,20260522,2.2343,,1506.934,2269775.8
881118.TI,专用设备,I,20260522,2.234,,8483.433,24666464.0
884025.TI,其他化学原料,I,20260522,2.2325,,3117.375,1626780.6
884089.TI,线缆部件及其他,I,20260522,2.2079,,3947.925,11914480.0
884312.TI,其他电池,I,20260522,2.2016,,4490.99,1649292.6
884075.TI,金属制品,I,20260522,2.2009,,4800.367,13414612.8
884308.TI,风电零部件,I,20260522,2.1848,,6281.917,5121085.3
700573.TI,无线电信业务Ⅳ(A股),I,20260522,2.1634,,1928.8037,452429.7
700414.TI,无线电信业务Ⅲ(A股),I,20260522,2.1634,,1928.8037,452429.7
700372.TI,机械制造(A股),I,20260522,2.1579,,2007.7414,77131420.47
884242.TI,医疗耗材,I,20260522,2.1264,,13235.376,3433956.8
884128.TI,棉纺,I,20260522,2.12,,1414.296,1443769.0
700398.TI,医疗保健技术Ⅲ(A股),I,20260522,2.1199,,1146.1341,257558.4
700543.TI,医疗保健技术Ⅳ(A股),I,20260522,2.1199,,1146.1341,257558.4
881278.TI,电网设备,I,20260522,2.0859,,7801.695,28838208.0
881108.TI,化学原料,I,20260522,2.0801,,3474.193,13875087.0
884219.TI,工控设备,I,20260522,2.0783,,20853.253,3831488.9
700520.TI,多品类零售Ⅳ(A股),I,20260522,2.077,,1171.8365,14183150.64
700389.TI,多品类零售Ⅲ(A股),I,20260522,2.077,,1173.3879,14183150.64
884094.TI,面板,I,20260522,2.0509,,2831.916,102429560.0
881264.TI,化学纤维,I,20260522,2.0302,,4129.03,8226359.7
884283.TI,钼,I,20260522,2.0029,,6577.506,899670.78
700477.TI,电气部件与设备(A股),I,20260522,1.9774,,3567.7049,38971540.57
881280.TI,风电设备,I,20260522,1.9481,,5631.552,8145119.9
884296.TI,横向通用软件,I,20260522,1.9374,,10082.659,5415081.0
884095.TI,LED,I,20260522,1.9269,,2542.217,18327683.0
884265.TI,其他通信设备,I,20260522,1.9196,,7997.425,1121867.88
884206.TI,贸易Ⅲ,I,20260522,1.9131,,2991.416,3260655.5
881159.TI,贸易,I,20260522,1.9131,,2991.416,3260655.5
884310.TI,电池化学品,I,20260522,1.8498,,28819.528,11843516.4
884027.TI,磷肥及磷化工,I,20260522,1.8417,,7000.629,3867009.3
884028.TI,农药,I,20260522,1.8336,,1903.613,3130097.5
700490.TI,调查和咨询服务(A股),I,20260522,1.8325,,3012.8727,2783888.09
700522.TI,电脑与电子产品零售(A股),I,20260522,1.806,,733.6141,1361078.29
881135.TI,纺织制造,I,20260522,1.7979,,2499.345,4533111.9
884294.TI,安防设备,I,20260522,1.7956,,8695.707,2447842.8
884212.TI,合成树脂,I,20260522,1.7716,,14713.263,2135716.4
884063.TI,耐火材料,I,20260522,1.7638,,2456.544,1111791.02
700328.TI,非必需消费品分销和零售(A股),I,20260522,1.757,,902.1296,19118700.35
700322.TI,资本品(A股),I,20260522,1.7387,,2339.7515,198469359.43
884209.TI,钛白粉,I,20260522,1.7334,,2320.421,1122255.12
884074.TI,其他通用设备,I,20260522,1.7255,,3119.554,12228064.7
881130.TI,计算机设备,I,20260522,1.7168,,4554.975,13583555.0
884207.TI,其他计算机设备,I,20260522,1.6828,,26258.133,11135711.9
884304.TI,逆变器,I,20260522,1.6813,,26161.523,2190221.6
884080.TI,能源及重型设备,I,20260522,1.6708,,2342.024,7344413.1
700370.TI,电气设备(A股),I,20260522,1.665,,3439.009,55143002.23
884039.TI,聚氨酯,I,20260522,1.6569,,3592.814,1291705.93
884116.TI,家电零部件,I,20260522,1.6535,,4111.734,7626322.9
884015.TI,焦炭加工,I,20260522,1.6173,,1219.503,1673356.9
700559.TI,信息科技咨询与其它服务(A股),I,20260522,1.6015,,2471.0508,30432251.36
884065.TI,装饰园林,I,20260522,1.5944,,1545.547,7602577.8
700407.TI,信息技术服务(A股),I,20260522,1.5934,,2404.4399,35054546.5
884181.TI,航空装备,I,20260522,1.5789,,2429.218,8075847.3
700515.TI,消闲设施(A股),I,20260522,1.5778,,2258.4859,613320.75
884064.TI,管材,I,20260522,1.575,,1430.843,1003174.98
884088.TI,输变电设备,I,20260522,1.5711,,3530.748,10421840.1
700551.TI,特殊金融服务(A股),I,20260522,1.5708,,633.1635,1163475.71
700560.TI,互联网服务和基础设施(A股),I,20260522,1.5529,,1114.0981,4622295.14
700519.TI,经销商Ⅳ(A股),I,20260522,1.5493,,1072.1209,1418388.76
700388.TI,经销商Ⅲ(A股),I,20260522,1.5493,,1072.1209,1418388.76
881263.TI,农化制品,I,20260522,1.548,,5220.974,11338429.9
884118.TI,其他黑色家电,I,20260522,1.5381,,2077.765,861822.91
881165.TI,综合,I,20260522,1.5341,,2448.921,4518007.7
884208.TI,综合Ⅲ,I,20260522,1.5341,,2448.921,4518007.7
884274.TI,IT服务Ⅲ,I,20260522,1.5317,,14218.792,36774859.0
881271.TI,IT服务,I,20260522,1.5317,,14218.792,36774859.0
884258.TI,体育,I,20260522,1.5305,,7307.162,1064912.51
881179.TI,其他社会服务,I,20260522,1.5055,,21303.22,5041747.2
884257.TI,专业服务,I,20260522,1.5042,,20357.079,3976834.6
884031.TI,钾肥,I,20260522,1.5033,,14416.815,1078820.22
884278.TI,畜禽饲料,I,20260522,1.5011,,2443.173,2235712.6
881162.TI,通信服务,I,20260522,1.4994,,3310.483,20362670.0
700303.TI,工业(A股),I,20260522,1.4968,,2065.5912,262082835.53
700485.TI,环境与设施服务(A股),I,20260522,1.4966,,1188.4041,14276231.58
884011.TI,其他农产品加工,I,20260522,1.4726,,2446.611,930434.91
884270.TI,综合环境治理,I,20260522,1.4698,,1932.94,4482264.4
884277.TI,其他养殖,I,20260522,1.4674,,1401.018,456191.0
700459.TI,化肥与农用药剂(A股),I,20260522,1.467,,2439.2245,7913416.95
884130.TI,印染,I,20260522,1.4626,,1669.333,656542.44
884005.TI,海洋捕捞,I,20260522,1.4591,,1480.32,83659.01
884291.TI,轮胎轮毂,I,20260522,1.438,,6167.3,2874993.8
884267.TI,大气治理,I,20260522,1.4348,,3998.629,539584.93
700375.TI,专业服务(A股),I,20260522,1.433,,3596.7464,4467934.34
700513.TI,纺织品(A股),I,20260522,1.4256,,1448.3461,5061910.33
881274.TI,影视院线,I,20260522,1.4253,,1490.083,7135531.1
884177.TI,影视院线Ⅲ,I,20260522,1.4253,,1490.083,7135531.1
881131.TI,白色家电,I,20260522,1.4195,,8985.793,9861264.3
700501.TI,汽车零件与设备(A股),I,20260522,1.4192,,3242.1416,38928749.11
884141.TI,饰品,I,20260522,1.4143,,915.263,1506507.2
881272.TI,软件开发,I,20260522,1.4117,,2148.474,18714015.0
884062.TI,其他建材,I,20260522,1.4111,,2869.679,3468944.5
884217.TI,工程咨询服务,I,20260522,1.3905,,13986.907,4240255.4
700381.TI,汽车零部件(A股),I,20260522,1.3865,,3182.5144,41154905.14
884032.TI,民爆用品,I,20260522,1.3626,,3804.937,2430990.6
884237.TI,瓷砖地板,I,20260522,1.3615,,2367.235,1751920.4
881144.TI,医疗器械,I,20260522,1.3527,,11803.352,8991180.5
884184.TI,特钢,I,20260522,1.3512,,2171.486,2023593.0
700390.TI,专营零售(A股),I,20260522,1.3409,,597.7424,3517160.95
700473.TI,纸制品(A股),I,20260522,1.3304,,1683.9343,5031936.94
884112.TI,冰洗,I,20260522,1.329,,2665.419,1321322.09
700562.TI,系统软件(A股),I,20260522,1.328,,3226.0903,7035851.23
884255.TI,互联网电商Ⅲ,I,20260522,1.3244,,9501.37,4344916.7
881177.TI,互联网电商,I,20260522,1.3244,,9501.37,4344916.7
884292.TI,其他汽车零部件,I,20260522,1.3198,,11350.43,5531647.7
881181.TI,环境治理,I,20260522,1.3168,,4536.739,15825403.0
881166.TI,军工装备,I,20260522,1.3112,,2509.855,14282097.0
700323.TI,商业和专业服务(A股),I,20260522,1.3052,,1784.3088,25121281.13
884286.TI,锂,I,20260522,1.2917,,28800.923,2645728.9
881136.TI,服装家纺,I,20260522,1.291,,3170.948,8976319.1
700540.TI,保健护理服务(A股),I,20260522,1.2906,,3085.0966,3199351.14
881178.TI,教育,I,20260522,1.2844,,4300.76,2678381.4
884256.TI,教育Ⅲ,I,20260522,1.2844,,4300.76,2678381.4
884069.TI,机床工具,I,20260522,1.2828,,3233.911,3627916.7
884269.TI,固废治理,I,20260522,1.2781,,5500.17,5152191.4
884293.TI,汽车电子电气系统,I,20260522,1.275,,10656.345,7361495.6
884195.TI,造纸Ⅲ,I,20260522,1.2677,,2287.746,6360955.0
881137.TI,造纸,I,20260522,1.2677,,2287.746,6360955.0
884281.TI,煤化工,I,20260522,1.2674,,3589.768,2314333.1
884234.TI,服装,I,20260522,1.2652,,2649.134,5943903.9
884060.TI,水泥,I,20260522,1.2621,,1475.935,4796543.8
884202.TI,住宅开发,I,20260522,1.2605,,1862.608,27196595.0
884009.TI,果蔬加工,I,20260522,1.2595,,1997.47,296797.02
884268.TI,水务及水治理,I,20260522,1.2591,,4148.689,5651362.4
700524.TI,汽车零售(A股),I,20260522,1.257,,559.8885,760421.29
884026.TI,氮肥,I,20260522,1.2492,,1427.239,1501858.1
700374.TI,商业服务与商业用品(A股),I,20260522,1.2441,,1558.5375,20653346.79
881145.TI,电力,I,20260522,1.2312,,2186.675,82176877.0
884162.TI,商业物业经营,I,20260522,1.2284,,1519.533,5967666.0
700337.TI,软件与服务(A股),I,20260522,1.2195,,2833.5208,60880144.72
884215.TI,稀土,I,20260522,1.2078,,13372.551,1576186.2
884150.TI,新能源发电,I,20260522,1.2029,,2176.473,24737759.0
884295.TI,垂直应用软件,I,20260522,1.1895,,17533.878,13298934.3
700491.TI,数据处理和外包服务(A股),I,20260522,1.1582,,1665.6983,1538026.04
881126.TI,汽车零部件,I,20260522,1.1531,,7084.877,42791150.0
884041.TI,涤纶,I,20260522,1.1403,,1924.759,3270438.7
700578.TI,电影和娱乐(A股),I,20260522,1.14,,680.8313,7290983.51
881103.TI,农产品加工,I,20260522,1.1366,,3842.645,4534033.1
884142.TI,文娱用品,I,20260522,1.11,,2608.048,1714546.2
881180.TI,石油加工贸易,I,20260522,1.1097,,3952.842,8935405.0
700481.TI,农用农业机械(A股),I,20260522,1.0774,,1774.7547,778146.37
700385.TI,纺织品、服装与奢侈品(A股),I,20260522,1.0765,,1008.2257,12912182.25
884145.TI,医疗设备,I,20260522,1.0712,,2865.146,2837212.2
884183.TI,航海装备,I,20260522,1.0654,,3715.761,2584157.2
700502.TI,轮胎与橡胶(A股),I,20260522,1.0653,,2965.9737,2226156.03
884081.TI,印刷包装机械,I,20260522,1.0598,,3267.277,1070794.28
884290.TI,底盘与发动机系统,I,20260522,1.0478,,11758.736,21882075.0
884302.TI,硅料硅片,I,20260522,1.0327,,6949.625,4893121.9
884279.TI,水产饲料,I,20260522,1.0188,,9793.856,483890.75
700571.TI,非传统电信运营商(A股),I,20260522,1.0176,,3784.1297,2524998.46
881132.TI,黑色家电,I,20260522,1.0107,,4810.55,3027028.2
700425.TI,房地产管理和开发Ⅲ(A股),I,20260522,1.0061,,762.2673,41897976.35
700344.TI,房地产管理和开发Ⅱ(A股),I,20260522,1.0061,,762.2417,41897976.35
700511.TI,服装、服饰与奢侈品(A股),I,20260522,1.0049,,799.3646,6834418.23
700311.TI,房地产(A股),I,20260522,1.0049,,761.3817,41944699.35
881112.TI,钢铁,I,20260522,1.0013,,1660.24,21023060.0
