ts_code,name,type,trade_date,pct_change,pct_chg,close,vol
883424.TI,创业科创板昨日涨停,S,20260522,13.9866,,11303650800.0,1449969.2
700020.TI,同花顺港股通,BB,20260522,13.2226,,3122.2617,126234121.9
883997.TI,昨日非ST二板表现,S,20260522,12.5558,,337764040.0,3285096.0
884071.TI,磨具磨料,I,20260522,8.0112,,5624.7,2910528.0
884093.TI,被动元件,I,20260522,7.9521,,7238.2,5319147.2
881270.TI,元件,I,20260522,7.8496,,24576.136,24368561.0
884092.TI,印制电路板,I,20260522,7.814,,5680.987,19049415.0
885937.TI,培育钻石,N,20260522,7.2432,,2308.096,6371635.1
700468.TI,贵重金属与矿石(A股),I,20260522,7.0877,,3554.531,1086725.36
883958.TI,昨日连板,S,20260522,6.4921,,777750740.0,4906315.2
883988.TI,昨日非ST连板,S,20260522,6.4921,,1426016800.0,4906315.2
884059.TI,玻璃玻纤,I,20260522,6.4635,,5679.336,12501861.6
885959.TI,PCB概念,N,20260522,6.3258,,2852.047,76150168.0
884285.TI,镍,I,20260522,5.8425,,11002.633,113335.46
884054.TI,铜,I,20260522,5.8121,,4058.111,14894592.0
700471.TI,铜(A股),I,20260522,5.8074,,1829.5107,7056841.18
886082.TI,同花顺果指数,N,20260522,5.6711,,2565.397,80891556.0
884213.TI,膜材料,I,20260522,5.6618,,4086.256,6670665.1
884057.TI,磁性材料,I,20260522,5.6098,,4759.819,1870946.9
884282.TI,钨,I,20260522,5.5786,,8687.576,2286283.0
700565.TI,电子设备和仪器(A股),I,20260522,5.3524,,6724.908,106438635.5
884036.TI,氟化工,I,20260522,5.34,,5299.76,5839787.3
886033.TI,共封装光学(CPO),N,20260522,5.2905,,6536.836,87675024.0
884231.TI,电子化学品Ⅲ,I,20260522,5.2184,,96469.785,13264903.8
881172.TI,电子化学品,I,20260522,5.2184,,96469.785,13264903.8
886020.TI,PET铜箔,N,20260522,5.2179,,2183.5,19887697.0
700496.TI,地面货运(A股),I,20260522,5.1327,,820.7562,404796.99
885886.TI,超级电容,N,20260522,5.022,,3441.208,16211807.0
884096.TI,光学元件,I,20260522,4.9869,,4688.666,7710011.9
700475.TI,建筑产品Ⅳ(A股),I,20260522,4.9014,,3368.1314,9022665.05
700368.TI,建筑产品Ⅲ(A股),I,20260522,4.9014,,3368.3462,9022665.05
881114.TI,金属新材料,I,20260522,4.8511,,16460.709,4545733.0
883911.TI,创历史新高,S,20260522,4.8104,,8583.099,41876788.0
884220.TI,激光设备,I,20260522,4.7112,,31840.788,2691906.7
883411.TI,密集调研,S,20260522,4.6404,,1928.122,6356142.9
885786.TI,富士康概念,N,20260522,4.5769,,4048.767,34421566.0
886091.TI,华为手机,N,20260522,4.5762,,1908.744,22715575.0
881167.TI,非金属材料,I,20260522,4.5712,,33818.027,1707436.8
884058.TI,非金属材料Ⅲ,I,20260522,4.5712,,33818.027,1707436.8
881168.TI,工业金属,I,20260522,4.5118,,4752.504,36519896.0
700411.TI,电子设备、仪器和元件(A股),I,20260522,4.5041,,6325.416,204262842.7
886071.TI,AI PC,N,20260522,4.4311,,2623.533,23642509.0
883902.TI,昨日成交前十,S,20260522,4.3229,,751.028,8650108.9
886073.TI,铜缆高速连接,N,20260522,4.3003,,3367.965,16439945.0
700458.TI,多种化学制品(A股),I,20260522,4.2672,,2797.2815,3284613.25
885376.TI,苹果概念,N,20260522,4.2556,,6758.399,114543578.0
700338.TI,技术硬件与设备(A股),I,20260522,4.2535,,6349.2276,246727610.97
884056.TI,其他金属新材料,I,20260522,4.2521,,4225.29,2674785.9
885875.TI,MiniLED,N,20260522,4.0535,,2999.488,125358115.0
884053.TI,铝,I,20260522,4.0054,,3628.573,13740875.0
884055.TI,铅锌,I,20260522,3.9632,,4001.181,7884430.5
700566.TI,电子元件(A股),I,20260522,3.9509,,6128.2587,90132687.69
884284.TI,钴,I,20260522,3.9345,,59234.314,782928.13
885969.TI,金属镍,N,20260522,3.9253,,1393.636,22904939.0
886048.TI,英伟达概念,N,20260522,3.9184,,2035.492,31581326.0
886054.TI,光刻机,N,20260522,3.8967,,2887.814,10942471.4
881265.TI,塑料制品,I,20260522,3.8945,,11950.499,14152185.0
700567.TI,电子制造服务(A股),I,20260522,3.8824,,3458.2665,3446211.34
886009.TI,先进封装,N,20260522,3.8733,,2807.118,67914767.0
884048.TI,改性塑料,I,20260522,3.85,,3513.98,2915368.6
883916.TI,百元股,S,20260522,3.8432,,2096.963,38151034.0
884228.TI,集成电路封测,I,20260522,3.8289,,11441.789,12890594.4
884311.TI,锂电专用设备,I,20260522,3.8175,,443775.77,3027432.1
700461.TI,特种化学制品(A股),I,20260522,3.8131,,4188.7342,14610434.65
700563.TI,通信设备Ⅳ(A股),I,20260522,3.7751,,6126.5122,32721230.13
700409.TI,通信设备Ⅲ(A股),I,20260522,3.7751,,6126.5122,32721230.13
884262.TI,通信网络设备及器件,I,20260522,3.7642,,29119.468,10055104.6
885908.TI,第三代半导体,N,20260522,3.7558,,2804.973,69410686.0
886084.TI,光纤概念,N,20260522,3.7529,,4144.802,101946785.0
